workflow	run	mode	status	complete_at	file
nf-core_mhcquant	18988-single	single	unknown	2026-05-19 21:46:48	runs/nf-core_mhcquant/slurm-18988-single.out
nf-core_mhcquant	19041-single	single	unknown	2026-05-19 21:57:05	runs/nf-core_mhcquant/slurm-19041-single.out
nf-core_mhcquant	19075-single	single	fail	2026-05-19 22:52:15	runs/nf-core_mhcquant/slurm-19075-single.out
nf-core_mhcquant	19108-single	single	unknown	2026-05-19 23:34:43	runs/nf-core_mhcquant/slurm-19108-single.out
nf-core_mhcquant	19315-single	single	fail	2026-05-20 10:10:02	runs/nf-core_mhcquant/slurm-19315-single.out
nf-core_mhcquant	19676-single	single	fail	2026-05-20 12:49:16	runs/nf-core_mhcquant/slurm-19676-single.out
nf-core_mhcquant	20037-single	single	fail	2026-05-21 10:40:26	runs/nf-core_mhcquant/slurm-20037-single.out
nf-core_nascent	18823-single	single	unknown	2026-05-19 18:18:28	runs/nf-core_nascent/slurm-18823-single.out
nf-core_nascent	18989-single	single	fail	2026-05-19 21:46:39	runs/nf-core_nascent/slurm-18989-single.out
nf-core_nascent	19042-single	single	fail	2026-05-19 21:57:12	runs/nf-core_nascent/slurm-19042-single.out
nf-core_nascent	19066-single	single	fail	2026-05-19 22:17:53	runs/nf-core_nascent/slurm-19066-single.out
nf-core_nascent	19104-single	single	unknown	2026-05-19 23:34:43	runs/nf-core_nascent/slurm-19104-single.out
nf-core_nascent	19316-single	single	unknown	2026-05-20 04:20:55	runs/nf-core_nascent/slurm-19316-single.out
nf-core_nascent	19556-single	single	fail	2026-05-21 00:21:03	runs/nf-core_nascent/slurm-19556-single.out
nf-core_nascent	20001-single	single	fail	2026-05-21 01:42:30	runs/nf-core_nascent/slurm-20001-single.out
nf-core_pathogensurveillance	18990-single	single	unknown	2026-05-19 21:46:42	runs/nf-core_pathogensurveillance/slurm-18990-single.out
nf-core_pathogensurveillance	19043-single	single	unknown	2026-05-19 21:57:18	runs/nf-core_pathogensurveillance/slurm-19043-single.out
nf-core_pathogensurveillance	19076-single	single	fail	2026-05-19 22:53:11	runs/nf-core_pathogensurveillance/slurm-19076-single.out
nf-core_pathogensurveillance	19109-single	single	fail	2026-05-20 00:39:30	runs/nf-core_pathogensurveillance/slurm-19109-single.out
nf-core_pathogensurveillance	19262-single	single	fail	2026-05-20 06:11:57	runs/nf-core_pathogensurveillance/slurm-19262-single.out
nf-core_pathogensurveillance	19404-single	single	fail	2026-05-20 08:13:58	runs/nf-core_pathogensurveillance/slurm-19404-single.out
nf-core_pathogensurveillance	19575-single	single	fail	2026-05-20 10:02:03	runs/nf-core_pathogensurveillance/slurm-19575-single.out
nf-core_pathogensurveillance	19672-single	single	fail	2026-05-20 15:28:21	runs/nf-core_pathogensurveillance/slurm-19672-single.out
nf-core_pathogensurveillance	19918-single	single	fail	2026-05-20 19:26:24	runs/nf-core_pathogensurveillance/slurm-19918-single.out
nf-core_proteinfold	18991-single	single	fail	2026-05-19 21:46:43	runs/nf-core_proteinfold/slurm-18991-single.out
nf-core_proteinfold	19044-single	single	fail	2026-05-19 21:57:31	runs/nf-core_proteinfold/slurm-19044-single.out
nf-core_proteinfold	19093-single	single	unknown	2026-05-19 23:08:29	runs/nf-core_proteinfold/slurm-19093-single.out
nf-core_proteinfold	19121-single	single	unknown	2026-05-19 23:35:43	runs/nf-core_proteinfold/slurm-19121-single.out
nf-core_proteinfold	19172-single	single	fail	2026-05-19 23:44:44	runs/nf-core_proteinfold/slurm-19172-single.out
nf-core_proteinfold	19207-single	single	fail	2026-05-20 00:36:31	runs/nf-core_proteinfold/slurm-19207-single.out
nf-core_proteinfold	19239-single	single	fail	2026-05-20 01:20:30	runs/nf-core_proteinfold/slurm-19239-single.out
nf-core_proteinfold	19334-single	single	fail	2026-05-20 05:54:48	runs/nf-core_proteinfold/slurm-19334-single.out
nf-core_proteinfold	19381-single	single	fail	2026-05-20 06:58:20	runs/nf-core_proteinfold/slurm-19381-single.out
nf-core_proteinfold	19410-single	single	fail	2026-05-20 08:48:21	runs/nf-core_proteinfold/slurm-19410-single.out
nf-core_proteinfold	19596-single	single	fail	2026-05-20 10:18:10	runs/nf-core_proteinfold/slurm-19596-single.out
nf-core_proteinfold	19921-single	single	fail	2026-05-20 17:51:38	runs/nf-core_proteinfold/slurm-19921-single.out
nf-core_quantms	18992-single	single	fail	2026-05-19 21:47:02	runs/nf-core_quantms/slurm-18992-single.out
nf-core_quantms	19045-single	single	unknown	2026-05-19 21:57:48	runs/nf-core_quantms/slurm-19045-single.out
nf-core_quantms	19077-single	single	fail	2026-05-19 22:52:36	runs/nf-core_quantms/slurm-19077-single.out
nf-core_quantms	19110-single	single	unknown	2026-05-19 23:35:07	runs/nf-core_quantms/slurm-19110-single.out
nf-core_quantms	19169-single	single	fail	2026-05-19 23:42:47	runs/nf-core_quantms/slurm-19169-single.out
nf-core_quantms	19208-single	single	fail	2026-05-20 00:37:11	runs/nf-core_quantms/slurm-19208-single.out
nf-core_quantms	19264-single	single	fail	2026-05-20 01:51:52	runs/nf-core_quantms/slurm-19264-single.out
nf-core_quantms	19288-single	single	fail	2026-05-20 04:22:52	runs/nf-core_quantms/slurm-19288-single.out
nf-core_quantms	19343-single	single	fail	2026-05-20 06:39:26	runs/nf-core_quantms/slurm-19343-single.out
nf-core_quantms	19405-single	single	fail	2026-05-20 07:58:37	runs/nf-core_quantms/slurm-19405-single.out
nf-core_quantms	19565-single	single	fail	2026-05-20 10:26:03	runs/nf-core_quantms/slurm-19565-single.out
nf-core_quantms	19695-single	single	fail	2026-05-20 13:11:36	runs/nf-core_quantms/slurm-19695-single.out
nf-core_quantms	19950-single	single	fail	2026-05-20 21:45:34	runs/nf-core_quantms/slurm-19950-single.out
nf-core_rnaseq	18993-single	single	unknown	2026-05-19 21:46:47	runs/nf-core_rnaseq/slurm-18993-single.out
nf-core_rnaseq	19046-single	single	unknown	2026-05-19 21:57:52	runs/nf-core_rnaseq/slurm-19046-single.out
nf-core_rnaseq	19078-single	single	unknown	2026-05-19 22:55:40	runs/nf-core_rnaseq/slurm-19078-single.out
nf-core_rnaseq	19144-single	single	fail	2026-05-19 23:36:43	runs/nf-core_rnaseq/slurm-19144-single.out
nf-core_rnaseq	19177-single	single	unknown	2026-05-20 07:08:19	runs/nf-core_rnaseq/slurm-19177-single.out
nf-core_rnaseq	19666-single	single	unknown	2026-05-20 11:39:27	runs/nf-core_rnaseq/slurm-19666-single.out
nf-core_rnaseq	20040-single	single	fail	2026-05-21 12:53:03	runs/nf-core_rnaseq/slurm-20040-single.out
nf-core_sarek	18832-single	single	fail	2026-05-19 18:21:51	runs/nf-core_sarek/slurm-18832-single.out
nf-core_sarek	19094-single	single	fail	2026-05-19 23:12:54	runs/nf-core_sarek/slurm-19094-single.out
nf-core_sarek	19128-single	single	unknown	2026-05-19 23:36:48	runs/nf-core_sarek/slurm-19128-single.out
nf-core_sarek	19214-single	single	fail	2026-05-20 00:48:56	runs/nf-core_sarek/slurm-19214-single.out
nf-core_sarek	19266-single	single	fail	2026-05-20 12:24:20	runs/nf-core_sarek/slurm-19266-single.out
nf-core_sarek	19797-single	single	unknown	2026-05-20 15:21:17	runs/nf-core_sarek/slurm-19797-single.out
nf-core_sarek	20043-single	single	fail	2026-05-21 22:49:33	runs/nf-core_sarek/slurm-20043-single.out
nf-core_scnanoseq	18833-single	single	unknown	2026-05-19 18:25:52	runs/nf-core_scnanoseq/slurm-18833-single.out
nf-core_scnanoseq	18834-single	single	unknown	2026-05-19 20:23:04	runs/nf-core_scnanoseq/slurm-18834-single.out
nf-core_scnanoseq	19002-single	single	fail	2026-05-19 21:47:34	runs/nf-core_scnanoseq/slurm-19002-single.out
nf-core_scnanoseq	19049-single	single	fail	2026-05-19 22:49:15	runs/nf-core_scnanoseq/slurm-19049-single.out
nf-core_scnanoseq	19107-single	single	fail	2026-05-19 23:35:28	runs/nf-core_scnanoseq/slurm-19107-single.out
nf-core_scnanoseq	19209-single	single	unknown	2026-05-20 00:37:22	runs/nf-core_scnanoseq/slurm-19209-single.out
nf-core_scnanoseq	19930-single	single	unknown	2026-05-20 17:51:53	runs/nf-core_scnanoseq/slurm-19930-single.out
nf-core_scrnaseq	18835-single	single	fail	2026-05-19 18:29:26	runs/nf-core_scrnaseq/slurm-18835-single.out
nf-core_scrnaseq	18837-single	single	fail	2026-05-19 18:31:47	runs/nf-core_scrnaseq/slurm-18837-single.out
nf-core_scrnaseq	18840-single	single	unknown	2026-05-19 19:37:20	runs/nf-core_scrnaseq/slurm-18840-single.out
nf-core_scrnaseq	19004-single	single	unknown	2026-05-19 21:49:02	runs/nf-core_scrnaseq/slurm-19004-single.out
nf-core_scrnaseq	19136-single	single	unknown	2026-05-20 00:54:34	runs/nf-core_scrnaseq/slurm-19136-single.out
nf-core_scrnaseq	19648-single	single	fail	2026-05-20 11:38:52	runs/nf-core_scrnaseq/slurm-19648-single.out
nf-core_scrnaseq	19953-single	single	fail	2026-05-21 12:15:13	runs/nf-core_scrnaseq/slurm-19953-single.out
nf-core_smrnaseq	18836-single	single	fail	2026-05-19 21:28:44	runs/nf-core_smrnaseq/slurm-18836-single.out
nf-core_smrnaseq	19003-single	single	fail	2026-05-19 21:48:00	runs/nf-core_smrnaseq/slurm-19003-single.out
nf-core_smrnaseq	19050-single	single	unknown	2026-05-19 23:13:51	runs/nf-core_smrnaseq/slurm-19050-single.out
nf-core_smrnaseq	19137-single	single	fail	2026-05-19 23:35:42	runs/nf-core_smrnaseq/slurm-19137-single.out
nf-core_smrnaseq	19173-single	single	fail	2026-05-20 01:21:06	runs/nf-core_smrnaseq/slurm-19173-single.out
nf-core_smrnaseq	19285-single	single	fail	2026-05-20 05:32:04	runs/nf-core_smrnaseq/slurm-19285-single.out
nf-core_smrnaseq	19375-single	single	fail	2026-05-20 06:46:33	runs/nf-core_smrnaseq/slurm-19375-single.out
nf-core_smrnaseq	19398-single	single	fail	2026-05-20 09:49:14	runs/nf-core_smrnaseq/slurm-19398-single.out
nf-core_smrnaseq	19771-single	single	fail	2026-05-20 17:04:26	runs/nf-core_smrnaseq/slurm-19771-single.out
nf-core_smrnaseq	20047-single	single	fail	2026-05-21 13:58:34	runs/nf-core_smrnaseq/slurm-20047-single.out
nf-core_spatialvi	18838-single	single	fail	2026-05-19 19:48:00	runs/nf-core_spatialvi/slurm-18838-single.out
nf-core_spatialvi	18994-single	single	fail	2026-05-19 21:46:49	runs/nf-core_spatialvi/slurm-18994-single.out
nf-core_spatialvi	19047-single	single	fail	2026-05-19 23:05:27	runs/nf-core_spatialvi/slurm-19047-single.out
nf-core_spatialvi	19119-single	single	fail	2026-05-19 23:35:27	runs/nf-core_spatialvi/slurm-19119-single.out
nf-core_spatialvi	19171-single	single	fail	2026-05-19 23:45:06	runs/nf-core_spatialvi/slurm-19171-single.out
nf-core_spatialvi	19206-single	single	fail	2026-05-20 00:34:39	runs/nf-core_spatialvi/slurm-19206-single.out
nf-core_spatialvi	19237-single	single	fail	2026-05-20 01:20:01	runs/nf-core_spatialvi/slurm-19237-single.out
nf-core_spatialvi	19335-single	single	fail	2026-05-20 06:18:08	runs/nf-core_spatialvi/slurm-19335-single.out
nf-core_spatialvi	19385-single	single	fail	2026-05-20 07:07:30	runs/nf-core_spatialvi/slurm-19385-single.out
nf-core_spatialvi	19415-single	single	fail	2026-05-20 08:32:54	runs/nf-core_spatialvi/slurm-19415-single.out
nf-core_spatialvi	19585-single	single	fail	2026-05-20 10:11:48	runs/nf-core_spatialvi/slurm-19585-single.out
nf-core_spatialvi	19866-single	single	fail	2026-05-20 16:35:42	runs/nf-core_spatialvi/slurm-19866-single.out
nf-core_spatialvi	19989-single	single	fail	2026-05-21 00:22:03	runs/nf-core_spatialvi/slurm-19989-single.out
nf-core_taxprofiler	18841-single	single	fail	2026-05-19 21:30:34	runs/nf-core_taxprofiler/slurm-18841-single.out
nf-core_taxprofiler	19005-single	single	fail	2026-05-19 22:50:42	runs/nf-core_taxprofiler/slurm-19005-single.out
nf-core_taxprofiler	19147-single	single	fail	2026-05-19 23:37:21	runs/nf-core_taxprofiler/slurm-19147-single.out
nf-core_taxprofiler	19179-single	single	fail	2026-05-20 00:38:40	runs/nf-core_taxprofiler/slurm-19179-single.out
nf-core_taxprofiler	19261-single	single	fail	2026-05-20 17:49:32	runs/nf-core_taxprofiler/slurm-19261-single.out
nf-core_taxprofiler	19974-single	single	fail	2026-05-21 01:35:51	runs/nf-core_taxprofiler/slurm-19974-single.out
nf-core_tumourevo	18843-single	single	unknown	2026-05-19 19:48:50	runs/nf-core_tumourevo/slurm-18843-single.out
nf-core_tumourevo	19006-single	single	fail	2026-05-19 21:54:56	runs/nf-core_tumourevo/slurm-19006-single.out
nf-core_tumourevo	19096-single	single	fail	2026-05-19 23:33:23	runs/nf-core_tumourevo/slurm-19096-single.out
nf-core_tumourevo	19223-single	single	fail	2026-05-20 09:09:57	runs/nf-core_tumourevo/slurm-19223-single.out
nf-core_tumourevo	19639-single	single	fail	2026-05-20 21:16:28	runs/nf-core_tumourevo/slurm-19639-single.out
nf-core_tumourevo	20019-single	single	fail	2026-05-21 06:28:08	runs/nf-core_tumourevo/slurm-20019-single.out
nf-core_viralintegration	18846-probe	other	fail	2026-05-19 19:21:13	runs/nf-core_viralintegration/slurm-18846-probe.out
nf-core_viralintegration	18995-single	single	fail	2026-05-19 21:46:50	runs/nf-core_viralintegration/slurm-18995-single.out
nf-core_viralintegration	19048-single	single	fail	2026-05-19 22:40:27	runs/nf-core_viralintegration/slurm-19048-single.out
nf-core_viralintegration	19224-single	single	fail	2026-05-20 02:59:32	runs/nf-core_viralintegration/slurm-19224-single.out
nf-core_viralintegration	19336-single	single	fail	2026-05-20 06:16:57	runs/nf-core_viralintegration/slurm-19336-single.out
nf-core_viralintegration	19588-single	single	fail	2026-05-20 10:14:21	runs/nf-core_viralintegration/slurm-19588-single.out
nf-core_viralintegration	19809-single	single	fail	2026-05-20 15:23:52	runs/nf-core_viralintegration/slurm-19809-single.out
nf-core_viralintegration	19965-single	single	unknown	2026-05-20 22:15:01	runs/nf-core_viralintegration/slurm-19965-single.out
nf-core_viralrecon	18956-single	single	fail	2026-05-19 21:54:11	runs/nf-core_viralrecon/slurm-18956-single.out
nf-core_viralrecon	19097-single	single	fail	2026-05-19 23:39:17	runs/nf-core_viralrecon/slurm-19097-single.out
nf-core_viralrecon	19181-single	single	fail	2026-05-20 00:46:59	runs/nf-core_viralrecon/slurm-19181-single.out
nf-core_viralrecon	19265-single	single	fail	2026-05-20 02:41:04	runs/nf-core_viralrecon/slurm-19265-single.out
nf-core_viralrecon	19318-single	single	fail	2026-05-20 05:05:49	runs/nf-core_viralrecon/slurm-19318-single.out
nf-core_viralrecon	19350-single	single	fail	2026-05-20 06:35:59	runs/nf-core_viralrecon/slurm-19350-single.out
nf-core_viralrecon	19384-single	single	fail	2026-05-20 07:10:12	runs/nf-core_viralrecon/slurm-19384-single.out
nf-core_viralrecon	19449-single	single	fail	2026-05-20 08:52:01	runs/nf-core_viralrecon/slurm-19449-single.out
nf-core_viralrecon	19602-single	single	fail	2026-05-20 15:19:51	runs/nf-core_viralrecon/slurm-19602-single.out
nf-core_viralrecon	20050-single	single	fail	2026-05-21 16:28:09	runs/nf-core_viralrecon/slurm-20050-single.out
nwchem	18896-single	single	unknown	2026-05-19 20:52:13	runs/nwchem/slurm-18896-single.out
nwchem	18948-4node	multi	unknown	2026-05-19 21:28:03	runs/nwchem/slurm-18948-4node.out
nwchem	18999-4node	multi	unknown	2026-05-19 22:03:41	runs/nwchem/slurm-18999-4node.out
nwchem	19079-4node-profiled	trace	unknown	2026-05-19 23:15:54	runs/nwchem/slurm-19079-4node-profiled.out
nwchem	19161-4node-profiled	trace	unknown	2026-05-20 00:16:00	runs/nwchem/slurm-19161-4node-profiled.out
nwchem	19229-4node-profiled	trace	pass	2026-05-20 03:53:11	runs/nwchem/slurm-19229-4node-profiled.out
parsl	18897-single	single	fail	2026-05-19 19:45:44	runs/parsl/slurm-18897-single.out
parsl	18898-single	single	fail	2026-05-19 19:47:16	runs/parsl/slurm-18898-single.out
parsl	18900-single	single	pass	2026-05-19 20:33:58	runs/parsl/slurm-18900-single.out
parsl	18908-4node	multi	unknown	2026-05-19 20:52:46	runs/parsl/slurm-18908-4node.out
parsl	18998-4node	multi	pass	2026-05-19 21:47:32	runs/parsl/slurm-18998-4node.out
parsl	19019-4node-profiled	trace	unknown	2026-05-19 21:55:18	runs/parsl/slurm-19019-4node-profiled.out
parsl	19056-4node-profiled	trace	fail	2026-05-19 22:16:32	runs/parsl/slurm-19056-4node-profiled.out
parsl	19101-4node-profiled	trace	pass	2026-05-19 23:34:37	runs/parsl/slurm-19101-4node-profiled.out
pegasus	18899-single	single	fail	2026-05-19 19:53:46	runs/pegasus/slurm-18899-single.out
pegasus	18901-single	single	unknown	2026-05-19 19:59:12	runs/pegasus/slurm-18901-single.out
pegasus	18906-single	single	pass	2026-05-19 20:38:06	runs/pegasus/slurm-18906-single.out
pegasus	18950-4node	multi	pass	2026-05-19 21:29:03	runs/pegasus/slurm-18950-4node.out
pegasus	19001-4node	multi	pass	2026-05-19 21:37:13	runs/pegasus/slurm-19001-4node.out
pegasus	19016-4node-profiled	trace	unknown	2026-05-19 21:54:30	runs/pegasus/slurm-19016-4node-profiled.out
pegasus	19053-4node-profiled	trace	pass	2026-05-19 22:15:05	runs/pegasus/slurm-19053-4node-profiled.out
radical.pilot	18903-single	single	pass	2026-05-19 20:35:07	runs/radical.pilot/slurm-18903-single.out
radical.pilot	18997-4node	multi	pass	2026-05-19 21:54:20	runs/radical.pilot/slurm-18997-4node.out
radical.pilot	19051-4node-profiled	trace	fail	2026-05-19 22:03:58	runs/radical.pilot/slurm-19051-4node-profiled.out
radical.pilot	19080-4node-profiled	trace	pass	2026-05-19 23:30:03	runs/radical.pilot/slurm-19080-4node-profiled.out
rna-seq-star-deseq2	18957-single	single	unknown	2026-05-19 23:00:45	runs/rna-seq-star-deseq2/slurm-18957-single.out
rna-seq-star-deseq2	19117-4node	multi	unknown	2026-05-20 00:15:30	runs/rna-seq-star-deseq2/slurm-19117-4node.out
rna-seq-star-deseq2	19226-4node-profiled	trace	unknown	2026-05-20 03:29:10	runs/rna-seq-star-deseq2/slurm-19226-4node-profiled.out
rna-seq-star-deseq2	19330-4node-profiled	trace	pass	2026-05-20 23:49:53	runs/rna-seq-star-deseq2/slurm-19330-4node-profiled.out
