workflow	run	dir	mode	run_mtime	slurm_file	active_in_squeue
nf-core_airrflow	19682	single-19682	single	2026-05-20 12:49:33	present	no
nf-core_airrflow	19812	single-19812	single	2026-05-20 15:24:19	present	no
nf-core_airrflow	19962	single-19962	single	2026-05-20 22:14:04	present	no
nf-core_ampliseq	19026	single-19026	single	2026-05-19 21:56:08	present	no
nf-core_ampliseq	19084	single-19084	single	2026-05-19 22:54:16	present	no
nf-core_ampliseq	19152	single-19152	single	2026-05-19 23:38:24	present	no
nf-core_ampliseq	19180	single-19180	single	2026-05-20 00:16:56	present	no
nf-core_ampliseq	19233	single-19233	single	2026-05-20 01:57:45	present	no
nf-core_ampliseq	19290	single-19290	single	2026-05-20 04:03:24	present	no
nf-core_ampliseq	19341	single-19341	single	2026-05-20 06:17:53	present	no
nf-core_ampliseq	19377	single-19377	single	2026-05-20 06:49:11	present	no
nf-core_ampliseq	19399	single-19399	single	2026-05-20 07:37:51	present	no
nf-core_ampliseq	19562	single-19562	single	2026-05-20 09:42:56	present	no
nf-core_ampliseq	19755	single-19755	single	2026-05-20 13:35:06	present	no
nf-core_ampliseq	19873	single-19873	single	2026-05-20 15:59:18	present	no
nf-core_atacseq	19027	single-19027	single	2026-05-19 21:55:30	present	no
nf-core_atacseq	19060	single-19060	single	2026-05-19 22:16:41	present	no
nf-core_atacseq	19103	single-19103	single	2026-05-19 23:34:17	present	no
nf-core_atacseq	19217	single-19217	single	2026-05-20 00:49:33	present	no
nf-core_atacseq	19267	single-19267	single	2026-05-20 02:02:59	present	no
nf-core_atacseq	19291	single-19291	single	2026-05-20 04:04:02	present	no
nf-core_atacseq	19339	single-19339	single	2026-05-20 06:16:29	present	no
nf-core_atacseq	19376	single-19376	single	2026-05-20 06:46:58	present	no
nf-core_atacseq	19406	single-19406	single	2026-05-20 07:59:05	present	no
nf-core_atacseq	19572	single-19572	single	2026-05-20 09:56:12	present	no
nf-core_atacseq	19794	single-19794	single	2026-05-20 20:47:25	present	no
nf-core_atacseq	20022	single-20022	single	2026-05-21 06:56:21	present	no
nf-core_bacass	19028	single-19028	single	2026-05-19 21:55:30	present	no
nf-core_bacass	19061	single-19061	single	2026-05-19 22:17:01	present	no
nf-core_bacass	19089	single-19089	single	2026-05-19 23:02:43	present	no
nf-core_bacass	19118	single-19118	single	2026-05-19 23:34:51	present	no
nf-core_bacass	19307	single-19307	single	2026-05-20 06:35:33	present	no
nf-core_bacass	19387	single-19387	single	2026-05-20 07:10:39	present	no
nf-core_bacass	19550	single-19550	single	2026-05-20 09:26:48	present	no
nf-core_bacass	19752	single-19752	single	2026-05-20 13:20:21	present	no
nf-core_bacass	20013	single-20013	single	2026-05-21 01:38:53	present	no
nf-core_circdna	19029	single-19029	single	2026-05-19 21:55:40	present	no
nf-core_circdna	19063	single-19063	single	2026-05-19 22:16:44	present	no
nf-core_circdna	19090	single-19090	single	2026-05-19 23:11:55	present	no
nf-core_circdna	19149	single-19149	single	2026-05-20 00:04:36	present	no
nf-core_circdna	19218	single-19218	single	2026-05-20 01:17:59	present	no
